Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
233,Bed Bath & Beyond,"62,000",238,"$12,104 ",1.90%,$841.50 ,-12.10%,"$6,499 ","$5,931 "
234,Consolidated Edison,"14,960",229,"$12,075 ",-3.80%,"$1,245.00 ",4.40%,"$48,255 ","$23,708 "
235,Edison International,"12,390",246,"$11,869 ",3.00%,"$1,311.00 ",28.50%,"$51,319 ","$25,938 "
236,Sherwin-Williams,"42,550",253,"$11,856 ",4.60%,"$1,132.70 ",7.50%,"$6,753 ","$28,891 "
237,NGL Energy Partners,"3,200",167,"$11,742 ",-30.10%,-$198.90,-633.20%,"$5,560 ","$2,686 "
238,Dominion Resources,"16,200",243,"$11,737 ",0.50%,"$2,123.00 ",11.80%,"$71,610 ","$48,732 "
239,Ameriprise Financial,"13,195",232,"$11,735 ",-3.80%,"$1,314.00 ",-15.90%,"$1,39,821","$19,953 "
240,ADP,"57,000",248,"$11,668 ",1.70%,"$1,492.50 ",2.80%,"$43,670 ","$45,963 "
241,Hilton Worldwide Holdings,"1,69,000",254,"$11,663 ",3.50%,$348.00 ,-75.20%,"$26,211 ","$19,276 "
242,First Data,"24,000",249,"$11,584 ",1.20%,$420.00 ,-,"$40,292 ","$14,224 "
243,Henry Schein,"21,000",268,"$11,572 ",8.90%,$506.80 ,5.80%,"$6,730 ","$13,461 "
244,Toys “R” Us,"64,000",240,"$11,540 ",-2.20%,-$36.00,-,"$6,908 ",-
245,BB&T Corp.,"37,500",273,"$11,538 ",11.50%,"$2,426.00 ",16.40%,"$2,19,276","$36,141 "
246,Reinsurance Group of America,"2,371",271,"$11,522 ",10.60%,$701.40 ,39.70%,"$53,098 ","$8,169 "
247,Core-Mark Holding,"7,688",317,"$11,507 ",29.90%,$54.20 ,5.20%,"$1,497 ","$1,445 "
248,Biogen,"7,400",263,"$11,449 ",6.40%,"$3,702.80 ",4.40%,"$22,877 ","$59,046 "
249,Las Vegas Sands,"49,000",241,"$11,410 ",-2.40%,"$1,670.00 ",-15.10%,"$20,469 ","$45,313 "
250,Stanley Black & Decker,"54,023",256,"$11,407 ",1.70%,$965.30 ,9.20%,"$15,635 ","$20,280 "
251,Parker-Hannifin,"48,950",224,"$11,361 ",-10.60%,$806.80 ,-20.30%,"$12,057 ","$21,370 "
252,Stryker,"33,000",287,"$11,325 ",13.90%,"$1,647.00 ",14.50%,"$20,435 ","$49,115 "
253,Estee Lauder,"46,000",261,"$11,262 ",4.50%,"$1,114.60 ",2.40%,"$9,223 ","$31,068 "
254,Celgene,"7,132",305,"$11,229 ",21.30%,"$1,999.20 ",24.80%,"$28,086 ","$96,802 "
255,BlackRock,"13,000",250,"$11,155 ",-2.20%,"$3,172.00 ",-5.20%,"$2,20,177","$62,225 "
256,Xcel Energy,"11,476",257,"$11,107 ",0.70%,"$1,123.40 ",14.10%,"$41,155 ","$22,546 "
257,CSX,"26,628",239,"$11,069 ",-6.30%,"$1,714.00 ",-12.90%,"$35,414 ","$43,126 "
258,Unum Group,"9,400",265,"$11,047 ",2.90%,$931.40 ,7.40%,"$61,942 ","$10,749 "
259,Jacobs Engineering Group,"49,350",235,"$10,964 ",-9.50%,$210.50 ,-30.50%,"$7,360 ","$6,693 "
260,Lennar,"8,335",301,"$10,950 ",15.60%,$911.80 ,13.60%,"$15,362 ","$12,002 "
261,Group 1 Automotive,"13,500",267,"$10,888 ",2.40%,$147.10 ,56.50%,"$4,462 ","$1,584 "
262,Leucadia National,"13,000",242,"$10,875 ",-6.90%,$130.00 ,-54.20%,"$45,071 ","$9,355 "
263,Entergy,"13,513",247,"$10,846 ",-5.80%,-$583.60,-,"$45,904 ","$13,685 "
264,PayPal Holdings,"18,100",307,"$10,842 ",17.20%,"$1,401.00 ",14.10%,"$33,103 ","$51,650 "
265,Applied Materials,"16,150",295,"$10,825 ",12.10%,"$1,721.00 ",25.00%,"$14,588 ","$42,005 "
266,Voya Financial,"6,700",252,"$10,782 ",-4.90%,-$428.00,-204.80%,"$2,14,235","$7,191 "
267,MasterCard,"11,900",294,"$10,776 ",11.50%,"$4,059.00 ",6.60%,"$18,675 ","$1,21,234"
268,Priceline Group,"18,500",308,"$10,743 ",16.50%,"$2,135.00 ",-16.30%,"$19,839 ","$87,522 "
269,Liberty Interactive,"21,080",284,"$10,647 ",6.60%,"$1,235.00 ",42.10%,"$20,355 ","$9,101 "
270,AutoZone,"66,780",280,"$10,636 ",4.40%,"$1,241.00 ",7.00%,"$8,600 ","$20,540 "
271,State Street Corp.,"33,783",264,"$10,635 ",-1.20%,"$2,143.00 ",8.20%,"$2,42,698","$30,406 "
272,DTE Energy,"10,000",274,"$10,630 ",2.80%,$868.00 ,19.40%,"$32,041 ","$18,317 "
273,L-3 Communications,"38,000",245,"$10,597 ",-8.30%,$710.00 ,-,"$11,865 ","$12,859 "
274,HollyFrontier,"2,676",214,"$10,536 ",-20.40%,-$260.50,-135.20%,"$9,436 ","$5,048 "
275,Praxair,"26,498",262,"$10,534 ",-2.20%,"$1,500.00 ",-3.00%,"$19,332 ","$33,834 "
276,Universal Health Services,"70,863",290,"$10,508 ",7.40%,$702.40 ,3.20%,"$10,318 ","$12,022 "
277,Discover Financial Services,"15,549",283,"$10,497 ",4.90%,"$2,393.00 ",4.20%,"$92,308 ","$26,255 "
278,Occidental Petroleum,"11,000",225,"$10,398 ",-18.10%,-$574.00,-,"$43,109 ","$48,444 "
279,United States Steel,"29,800",244,"$10,261 ",-11.30%,-$440.00,-,"$9,160 ","$5,893 "
280,Sempra Energy,"16,575",279,"$10,183 ",-0.50%,"$1,370.00 ",1.60%,"$47,786 ","$27,692 "
281,Baxter International,"48,000",286,"$10,163 ",2.00%,"$4,965.00 ",412.90%,"$15,546 ","$28,106 "
282,W.W. Grainger,"25,000",285,"$10,137 ",1.60%,$605.90 ,-21.20%,"$5,694 ","$13,668 "
283,Autoliv,"65,900",310,"$10,074 ",9.90%,$567.10 ,24.10%,"$8,234 ","$9,032 "
284,Norfolk Southern,"27,856",270,"$9,888 ",-5.90%,"$1,668.00 ",7.20%,"$34,892 ","$32,515 "
285,Baker Hughes,"33,000",178,"$9,841 ",-37.50%,"-$2,738.00",-,"$19,034 ","$25,444 "
286,Ally Financial,"7,600",298,"$9,835 ",3.10%,"$1,067.00 ",-17.20%,"$1,63,728","$9,437 "
287,Sonic Automotive,"9,800",297,"$9,732 ",1.10%,$93.20 ,8.00%,"$3,639 ",$900 
288,Owens & Minor,"7,900",291,"$9,723 ",-0.50%,$108.80 ,5.20%,"$2,718 ","$2,114 "
289,Huntsman,"15,000",277,"$9,657 ",-6.20%,$326.00 ,250.50%,"$9,189 ","$5,880 "
290,Laboratory Corp. of America,"52,000",325,"$9,642 ",11.10%,$732.10 ,67.60%,"$14,247 ","$14,696 "
291,Murphy USA,"6,600",258,"$9,633 ",-11.50%,$221.50 ,25.60%,"$2,089 ","$2,706 "
292,Advance Auto Parts,"57,500",293,"$9,568 ",-1.70%,$459.60 ,-2.90%,"$8,315 ","$10,944 "
293,Fidelity National Financial,"55,219",311,"$9,554 ",4.60%,$650.00 ,23.30%,"$14,463 ","$10,600 "
294,Air Products & Chemicals,"18,450",288,"$9,524 ",-3.70%,$631.10 ,-50.60%,"$18,055 ","$29,438 "
295,Hormel Foods,"21,100",304,"$9,523 ",2.80%,$890.10 ,29.70%,"$6,370 ","$18,316 "
296,Hertz Global Holdings,"36,000",269,"$9,480 ",-10.00%,-$491.00,-279.90%,"$19,155 ","$1,456 "
297,MGM Resorts International,"66,500",309,"$9,455 ",2.90%,"$1,101.40 ",-,"$28,173 ","$15,733 "
298,Corning,"40,700",313,"$9,390 ",3.10%,"$3,695.00 ",176.00%,"$27,899 ","$25,030 "
299,Republic Services,"33,000",312,"$9,388 ",3.00%,$612.60 ,-18.30%,"$20,630 ","$21,312 "
300,Alcoa,"14,000",,"$9,318 ",-,-$400.00,-,"$16,741 ","$6,337 "
301,Fidelity National Information Services,"55,000",392,"$9,241 ",40.10%,$568.00 ,-10.10%,"$26,031 ","$26,178 "
302,Pacific Life,"3,628",326,"$9,169 ",6.10%,$824.00 ,24.70%,"$1,43,298",-
303,SunTrust Banks,"24,375",329,"$9,161 ",7.40%,"$1,878.00 ",-2.80%,"$2,04,875","$27,175 "
304,LKQ,"42,500",369,"$9,082 ",26.30%,$464.00 ,9.60%,"$8,303 ","$9,021 "
305,BorgWarner,"27,000",339,"$9,071 ",13.10%,$118.50 ,-80.60%,"$8,835 ","$8,895 "
306,Ball,"18,450",341,"$9,061 ",13.30%,$263.00 ,-6.40%,"$16,173 ","$13,000 "
307,CST Brands,"12,380",299,"$9,061 ",-4.60%,$324.00 ,117.40%,"$4,360 ","$3,645 "
308,Public Service Enterprise Group,"13,065",272,"$9,061 ",-13.00%,$887.00 ,-47.20%,"$40,070 ","$22,451 "
309,Eastman Chemical,"14,000",296,"$9,008 ",-6.60%,$854.00 ,0.70%,"$15,457 ","$11,783 "
310,eBay,"12,600",300,"$8,979 ",-5.40%,"$7,266.00 ",321.20%,"$23,847 ","$36,232 "
311,Mohawk Industries,"37,800",338,"$8,959 ",11.00%,$930.40 ,51.20%,"$10,231 ","$17,025 "
312,Oneok,"2,384",348,"$8,921 ",14.90%,$352.00 ,43.70%,"$16,139 ","$11,684 "
313,Frontier Communications,"28,332",461,"$8,896 ",59.50%,-$373.00,-,"$29,013 ","$2,521 "
314,Netflix,"3,850",379,"$8,831 ",30.30%,$186.70 ,52.20%,"$13,587 ","$63,619 "
315,American Family Insurance Group,"10,471",332,"$8,829 ",6.60%,$325.60 ,-53.10%,"$22,662 ",-
316,Thrivent Financial for Lutherans,"3,282",318,"$8,777 ",-0.10%,$587.80 ,-23.60%,"$88,561 ",-
317,Expedia,"20,075",385,"$8,774 ",31.50%,$281.80 ,-63.10%,"$15,778 ","$18,901 "
318,Lithia Motors,"11,170",346,"$8,678 ",10.30%,$197.10 ,7.70%,"$3,844 ","$2,156 "
319,Avis Budget Group,"25,600",330,"$8,659 ",1.80%,$163.00 ,-47.90%,"$17,643 ","$2,528 "
320,Reliance Steel & Aluminum,"14,500",303,"$8,613 ",-7.90%,$304.30 ,-2.30%,"$7,411 ","$5,830 "
321,GameStop,"41,750",302,"$8,608 ",-8.10%,$353.20 ,-12.30%,"$4,976 ","$2,282 "
322,Tenneco,"31,000",334,"$8,599 ",4.80%,$363.00 ,47.00%,"$4,342 ","$3,390 "
323,O’Reilly Automotive,"58,397",342,"$8,593 ",7.90%,"$1,037.70 ",11.40%,"$7,204 ","$24,730 "
324,Peter Kiewit Sons’,"20,000",314,"$8,573 ",-4.70%,$396.00 ,57.80%,"$6,179 ",-
325,United Natural Foods,"9,554",335,"$8,470 ",3.50%,$125.80 ,-9.30%,"$2,852 ","$2,187 "
326,salesforce.com,"25,000",386,"$8,392 ",25.90%,$179.60 ,-,"$17,585 ","$58,362 "
327,Boston Scientific,"27,000",359,"$8,386 ",12.20%,$347.00 ,-,"$18,096 ","$34,046 "
328,Newmont Mining,"12,438",349,"$8,379 ",8.40%,-$627.00,-385.00%,"$21,031 ","$17,518 "
329,Genworth Financial,"3,400",306,"$8,369 ",-9.50%,-$277.00,-,"$1,04,658","$2,056 "
330,Live Nation Entertainment,"11,500",366,"$8,355 ",15.30%,$2.90 ,-,"$6,764 ","$6,219 "
331,Veritiv,"8,700",323,"$8,327 ",-4.50%,$21.00 ,-21.30%,"$2,484 ",$813 
332,News Corp.,"24,000",327,"$8,319 ",-3.60%,$179.00 ,-,"$15,483 ","$7,559 "
333,Crown Holdings,"23,992",321,"$8,284 ",-5.50%,$496.00 ,26.20%,"$9,599 ","$7,367 "
334,Global Partners,"1,770",276,"$8,240 ",-20.10%,-$199.40,-557.80%,"$2,564 ",$663 
335,PVH,"26,650",340,"$8,203 ",2.30%,$549.00 ,-4.10%,"$11,068 ","$8,092 "
336,Level 3 Communications,"12,600",333,"$8,172 ",-0.70%,$677.00 ,-80.30%,"$24,888 ","$20,638 "
337,Navistar International,"11,300",281,"$8,111 ",-20.00%,-$97.00,-,"$5,653 ","$2,416 "
338,Univar,"8,700",315,"$8,074 ",-10.10%,-$68.40,-514.50%,"$5,390 ","$4,293 "
339,Campbell Soup,"16,500",337,"$7,961 ",-1.50%,$563.00 ,-18.50%,"$7,837 ","$17,423 "
340,Dick’s Sporting Goods,"27,550",365,"$7,922 ",9.00%,$287.40 ,-13.00%,"$4,058 ","$5,489 "
341,Weyerhaeuser,"10,400",373,"$7,902 ",11.60%,"$1,027.00 ",103.00%,"$19,243 ","$25,451 "
342,Mutual of Omaha Insurance,"5,732",367,"$7,899 ",9.20%,$356.60 ,7.10%,"$38,465 ",-
343,Chesapeake Energy,"3,300",223,"$7,872 ",-38.30%,"-$4,401.00",-,"$13,028 ","$5,394 "
344,Anadarko Petroleum,"4,500",324,"$7,869 ",-9.50%,"-$3,071.00",-,"$45,564 ","$34,640 "
345,Interpublic Group,"49,800",355,"$7,847 ",3.10%,$608.50 ,33.90%,"$12,485 ","$9,648 "
346,J.M. Smucker,"6,910",452,"$7,811 ",37.20%,$688.70 ,99.70%,"$15,984 ","$15,263 "
347,Steel Dynamics,"7,695",356,"$7,777 ",2.40%,$382.10 ,-,"$6,424 ","$8,425 "
348,Foot Locker,"32,965",361,"$7,766 ",4.80%,$664.00 ,22.70%,"$3,840 ","$9,818 "
349,Western Refining,"7,134",289,"$7,743 ",-20.90%,$124.90 ,-69.30%,"$5,560 ","$3,812 "
350,SpartanNash,"11,500",351,"$7,735 ",1.10%,$56.80 ,-9.40%,"$1,930 ","$1,313 "
351,Dean Foods,"17,000",336,"$7,710 ",-5.10%,$119.90 ,-,"$2,606 ","$1,786 "
352,Zimmer Biomet Holdings,"18,500",431,"$7,684 ",28.10%,$305.90 ,108.10%,"$26,684 ","$24,571 "
353,PulteGroup,"4,623",433,"$7,669 ",28.20%,$602.70 ,22.00%,"$10,178 ","$7,466 "
354,W.R. Berkley,"7,608",368,"$7,654 ",6.20%,$601.90 ,19.50%,"$23,365 ","$8,561 "
355,Quanta Services,"28,100",352,"$7,651 ",0.20%,$198.40 ,-36.20%,"$5,354 ","$5,386 "
356,EOG Resources,"2,650",322,"$7,651 ",-12.60%,"-$1,096.70",-,"$29,459 ","$56,302 "
357,Charles Schwab,"16,200",401,"$7,644 ",17.60%,"$1,889.00 ",30.50%,"$2,23,383","$54,555 "
358,Eversource Energy,"7,762",343,"$7,639 ",-4.00%,$942.30 ,7.30%,"$32,053 ","$18,627 "
359,Anixter International,"8,900",391,"$7,625 ",15.60%,$120.50 ,-5.60%,"$4,094 ","$2,626 "
360,EMCOR Group,"31,000",381,"$7,552 ",12.30%,$181.90 ,5.60%,"$3,894 ","$3,756 "
361,Assurant,"14,700",275,"$7,532 ",-27.10%,$565.40 ,299.40%,"$29,709 ","$5,298 "
362,CenterPoint Energy,"7,727",363,"$7,528 ",1.90%,$432.00 ,-,"$21,829 ","$11,882 "
363,Harris,"21,000",505,"$7,527 ",48.10%,$324.00 ,-3.00%,"$11,996 ","$13,849 "
364,HD Supply Holdings,"14,000",320,"$7,524 ",-14.30%,$196.00 ,-86.70%,"$5,707 ","$8,296 "
365,PPL,"12,689",350,"$7,517 ",-2.00%,"$1,902.00 ",178.90%,"$38,315 ","$25,448 "
366,Quest Diagnostics,"43,000",358,"$7,515 ",0.30%,$645.00 ,-9.00%,"$10,100 ","$13,501 "
367,Williams,"5,604",364,"$7,499 ",1.90%,-$424.00,-,"$46,835 ","$24,436 "
368,WEC Energy Group,"8,074",437,"$7,472 ",26.10%,$939.00 ,47.10%,"$30,123 ","$19,134 "
369,Hershey,"17,140",362,"$7,440 ",0.70%,$720.00 ,40.40%,"$5,524 ","$23,236 "
370,AGCO,"19,795",360,"$7,411 ",-0.80%,$160.10 ,-39.90%,"$7,168 ","$4,783 "
371,Ralph Lauren,"20,500",354,"$7,405 ",-2.80%,$396.00 ,-43.60%,"$6,213 ","$6,710 "
372,Masco,"26,000",345,"$7,357 ",-6.90%,$491.00 ,38.30%,"$5,137 ","$10,888 "
373,WESCO International,"9,000",357,"$7,336 ",-2.40%,$101.60 ,-51.80%,"$4,491 ","$3,389 "
374,LifePoint Health,"47,000",430,"$7,274 ",20.90%,$121.90 ,-33.00%,"$6,319 ","$2,616 "
375,National Oilwell Varco,"36,384",192,"$7,251 ",-50.90%,"-$2,412.00",-,"$21,140 ","$15,183 "
376,Kindred Healthcare,"76,650",372,"$7,227 ",1.80%,-$664.20,-,"$6,113 ",$711 
377,Mosaic,"8,700",316,"$7,163 ",-19.50%,$297.80 ,-70.20%,"$16,841 ","$10,242 "
378,Alliance Data Systems,"17,000",404,"$7,138 ",10.80%,$515.80 ,-13.50%,"$25,514 ","$13,925 "
379,Computer Sciences,"59,000",233,"$7,106 ",-41.70%,$251.00 ,-,"$7,736 ","$9,746 "
380,Huntington Ingalls Industries,"37,000",378,"$7,068 ",0.70%,$573.00 ,41.80%,"$6,352 ","$9,265 "
381,Leidos Holdings,"32,000",504,"$7,043 ",38.50%,$244.00 ,-3.90%,"$9,132 ","$7,696 "
382,Erie Insurance Group,"4,988",411,"$7,016 ",5.70%,$741.90 ,10.70%,"$18,417 ",-
383,Tesla,"30,025",588,"$7,000 ",73.00%,-$674.90,-,"$22,664 ","$45,390 "
384,Ascena Retail Group,"41,000",523,"$6,995 ",45.60%,-$11.90,-,"$5,506 ",$830 
385,Darden Restaurants,"1,50,942",371,"$6,934 ",-3.20%,$375.00 ,-47.10%,"$4,583 ","$10,389 "
386,Harman International Industries,"26,000",419,"$6,912 ",12.30%,$361.70 ,5.60%,"$6,054 ",-
387,Nvidia,"10,299",508,"$6,910 ",37.90%,"$1,666.00 ",171.30%,"$9,841 ","$64,160 "
388,R.R. Donnelley & Sons,"44,360",255,"$6,896 ",-38.70%,-$495.90,-428.20%,"$4,285 ",$846 
389,Fifth Third Bancorp,"17,844",376,"$6,889 ",-2.00%,"$1,564.00 ",-8.60%,"$1,42,177","$19,066 "
390,Quintiles Transnational Holdings,"50,000",447,"$6,878 ",19.90%,$115.00 ,-70.30%,"$21,208 ","$18,999 "
391,Jones Lang LaSalle,"77,300",436,"$6,804 ",14.00%,$318.20 ,-27.50%,"$7,629 ","$5,043 "
392,Dover,"29,000",377,"$6,794 ",-3.30%,$508.90 ,-41.50%,"$10,116 ","$12,502 "
393,Spirit AeroSystems Holdings,"14,400",389,"$6,793 ",2.20%,$469.70 ,-40.40%,"$5,405 ","$6,900 "
394,Ryder System,"34,500",395,"$6,787 ",3.30%,$262.50 ,-13.90%,"$10,903 ","$3,992 "
395,A-Mark Precious Metals,"83,000",426,"$6,784 ",11.80%,$9.30 ,31.50%,$437 ,$120 
396,Tractor Supply,"19,500",415,"$6,780 ",8.90%,$437.10 ,6.50%,"$2,675 ","$8,960 "
397,Sealed Air,"23,000",375,"$6,778 ",-3.60%,$486.40 ,45.00%,"$7,389 ","$8,432 "
398,Auto-Owners Insurance,"4,737",398,"$6,775 ",4.00%,$706.30 ,-13.40%,"$21,571 ",-
399,Yum China Holdings,"4,20,000",,"$6,752 ",-,$502.00 ,-,"$3,727 ","$10,453 "
400,Calpine,"2,372",402,"$6,716 ",3.80%,$92.00 ,-60.90%,"$19,317 ","$3,989 "
401,Owens-Illinois,"27,000",418,"$6,702 ",8.90%,$209.00 ,54.80%,"$9,135 ","$3,316 "
402,Targa Resources,"1,970",387,"$6,691 ",0.50%,-$187.30,-421.30%,"$12,871 ","$11,743 "
403,JetBlue Airways,"15,986",405,"$6,632 ",3.40%,$759.00 ,12.10%,"$9,487 ","$6,875 "
404,Jones Financial,"43,000",382,"$6,632 ",-0.90%,$746.00 ,-11.00%,"$19,424 ",-
405,Franklin Resources,"9,059",344,"$6,618 ",-16.70%,"$1,726.70 ",-15.20%,"$16,099 ","$23,823 "
406,Activision Blizzard,"9,500",532,"$6,608 ",41.70%,$966.00 ,8.30%,"$17,452 ","$37,487 "
407,J.B. Hunt Transport Services,"22,190",416,"$6,556 ",5.90%,$432.10 ,1.10%,"$3,829 ","$10,212 "
408,Constellation Brands,"9,000",429,"$6,548 ",8.60%,"$1,054.90 ",25.70%,"$16,965 ","$31,775 "
409,NCR,"33,500",409,"$6,543 ",2.70%,$270.00 ,-,"$7,673 ","$5,620 "
410,Asbury Automotive Group,"7,900",393,"$6,528 ",-0.90%,$167.20 ,-1.20%,"$2,336 ","$1,271 "
411,American Financial Group,"7,600",421,"$6,498 ",5.70%,$649.00 ,84.40%,"$55,072 ","$8,303 "
412,Discovery Communications,"7,000",406,"$6,497 ",1.60%,"$1,194.00 ",15.50%,"$15,758 ","$11,306 "
413,Berry Global Group,"21,000",518,"$6,489 ",32.90%,$236.00 ,174.40%,"$7,653 ","$6,256 "
414,Sanmina,"40,178",408,"$6,481 ",1.70%,$187.80 ,-50.20%,"$3,625 ","$3,016 "
415,CalAtlantic Group,"3,055",640,"$6,477 ",83.00%,$484.70 ,127.00%,"$8,709 ","$4,291 "
416,Dr Pepper Snapple Group,"20,000",413,"$6,440 ",2.50%,$847.00 ,10.90%,"$9,791 ","$17,997 "
417,Dillard’s,"30,800",380,"$6,418 ",-5.00%,$169.20 ,-37.20%,"$3,888 ","$1,645 "
418,HRG Group,"16,021",441,"$6,403 ",10.10%,-$198.80,-,"$35,793 ","$3,869 "
419,CMS Energy,"7,750",403,"$6,399 ",-0.90%,$551.00 ,5.40%,"$21,622 ","$12,528 "
420,Graybar Electric,"8,500",423,"$6,385 ",4.50%,$93.10 ,2.20%,"$2,099 ",-
421,Builders FirstSource,"14,000",637,"$6,367 ",78.60%,$144.30 ,-,"$2,910 ","$1,669 "
422,Yum Brands,"90,000",218,"$6,366 ",-51.40%,"$1,619.00 ",25.20%,"$5,478 ","$22,611 "
423,Casey’s General Stores,"24,724",374,"$6,304 ",-10.60%,$226.00 ,25.10%,"$2,726 ","$4,400 "
424,Amphenol,"62,000",462,"$6,286 ",12.90%,$822.90 ,7.80%,"$8,499 ","$21,897 "
425,Oshkosh,"13,800",424,"$6,279 ",3.00%,$216.40 ,-5.70%,"$4,514 ","$5,118 "
426,iHeartMedia,"18,700",414,"$6,274 ",0.50%,-$296.30,-,"$12,862 ",$330 
427,TreeHouse Foods,"16,027",686,"$6,175 ",92.60%,-$228.60,-298.90%,"$6,546 ","$4,813 "
428,Alleghany,"3,420",509,"$6,131 ",22.60%,$456.90 ,-18.50%,"$23,757 ","$9,476 "
429,Expeditors International of Washington,"16,000",390,"$6,098 ",-7.80%,$430.80 ,-5.80%,"$2,791 ","$10,208 "
430,Avery Dennison,"25,000",435,"$6,087 ",2.00%,$320.70 ,16.90%,"$4,396 ","$7,157 "
431,Ameren,"8,629",425,"$6,076 ",-0.40%,$653.00 ,3.70%,"$24,699 ","$13,245 "
432,Hanesbrands,"67,800",448,"$6,063 ",5.80%,$539.40 ,25.80%,"$6,908 ","$7,733 "
433,Motorola Solutions,"14,000",451,"$6,038 ",6.00%,$560.00 ,-8.20%,"$8,463 ","$14,131 "
434,St. Jude Medical,"18,000",465,"$6,004 ",8.40%,$734.00 ,-16.60%,"$12,578 ",-
435,Harley-Davidson,"6,000",432,"$5,997 ",-,$692.20 ,-8.00%,"$9,890 ","$10,626 "
436,Regions Financial,"22,166",453,"$5,967 ",5.20%,"$1,163.00 ",9.50%,"$1,25,968","$17,512 "
437,Intercontinental Exchange,"5,631",529,"$5,958 ",27.30%,"$1,422.00 ",11.60%,"$82,003 ","$35,530 "
438,Alaska Air Group,"19,112",459,"$5,931 ",5.90%,$814.00 ,-4.00%,"$9,962 ","$11,407 "
439,Old Republic International,"8,500",442,"$5,901 ",2.30%,$466.90 ,10.60%,"$18,592 ","$5,382 "
440,Lam Research,"7,500",491,"$5,886 ",11.90%,$914.00 ,39.40%,"$12,272 ","$20,903 "
441,AK Steel Holding,"8,500",383,"$5,883 ",-12.10%,-$7.80,-,"$4,036 ","$2,263 "
442,Rockwell Automation,"22,000",412,"$5,880 ",-6.80%,$729.70 ,-11.80%,"$7,101 ","$20,024 "
443,Adobe Systems,"15,706",524,"$5,854 ",22.10%,"$1,168.80 ",85.70%,"$12,707 ","$64,375 "
444,Avon Products,"26,400",370,"$5,853 ",-18.40%,-$107.60,-,"$3,419 ","$1,933 "
445,Terex,"18,100",396,"$5,841 ",-10.70%,-$176.10,-220.70%,"$5,007 ","$3,250 "
446,NVR,"4,900",498,"$5,835 ",12.90%,$425.30 ,11.10%,"$2,644 ","$7,851 "
447,Dana Holding,"24,900",428,"$5,826 ",-3.90%,$640.00 ,302.50%,"$4,860 ","$2,783 "
448,Realogy Holdings,"11,800",449,"$5,810 ",1.80%,$213.00 ,15.80%,"$7,421 ","$4,173 "
449,American Tower,"4,507",526,"$5,786 ",21.30%,$956.40 ,39.60%,"$30,879 ","$51,921 "
450,Packaging Corp. of America,"14,000",446,"$5,779 ",0.60%,$449.60 ,2.90%,"$5,777 ","$8,631 "
451,Citizens Financial Group,"17,600",486,"$5,763 ",9.20%,"$1,045.00 ",24.40%,"$1,49,520","$17,597 "
452,United Rentals,"12,500",440,"$5,762 ",-0.90%,$566.00 ,-3.20%,"$11,988 ","$10,561 "
453,Clorox,"8,000",455,"$5,761 ",1.70%,$648.00 ,11.70%,"$4,518 ","$17,294 "
454,Genesis Healthcare,"82,000",457,"$5,733 ",2.00%,-$64.00,-,"$5,779 ",$408 
455,M&T Bank Corp.,"16,487",510,"$5,722 ",14.50%,"$1,315.10 ",21.80%,"$1,23,449","$23,792 "
456,Ingredion,"11,000",456,"$5,704 ",1.50%,$484.90 ,20.60%,"$5,782 ","$8,646 "
457,UGI,"13,105",384,"$5,686 ",-15.00%,$364.70 ,29.80%,"$10,847 ","$8,543 "
458,Owens Corning,"16,000",480,"$5,677 ",6.10%,$393.00 ,19.10%,"$7,741 ","$6,910 "
459,S&P Global,"20,000",481,"$5,661 ",6.60%,"$2,106.00 ",82.20%,"$8,669 ","$33,805 "
460,Markel,"10,900",476,"$5,612 ",4.50%,$455.70 ,-21.80%,"$25,875 ","$13,623 "
461,Wyndham Worldwide,"37,800",466,"$5,599 ",1.10%,$611.00 ,-0.20%,"$9,819 ","$8,829 "
462,Arthur J. Gallagher,"24,790",471,"$5,595 ",3.80%,$414.40 ,16.10%,"$11,490 ","$10,148 "
463,Burlington Stores,"40,000",500,"$5,591 ",9.00%,$215.90 ,43.50%,"$2,575 ","$6,836 "
464,First American Financial,"19,531",497,"$5,576 ",7.70%,$343.00 ,19.10%,"$8,832 ","$4,332 "
465,Symantec,"11,000",400,"$5,568 ",-14.40%,"$2,488.00 ",183.40%,"$11,767 ","$18,986 "
466,Patterson,"7,000",559,"$5,555 ",27.00%,$187.20 ,-16.20%,"$3,521 ","$4,393 "
467,Olin,"6,400",761,"$5,551 ",94.50%,-$3.90,-,"$8,763 ","$5,444 "
468,NetApp,"12,030",422,"$5,546 ",-9.40%,$229.00 ,-59.10%,"$10,037 ","$11,339 "
469,Raymond James Financial,"11,900",482,"$5,520 ",4.00%,$529.40 ,5.40%,"$31,594 ","$10,958 "
470,TravelCenters of America,"20,259",439,"$5,511 ",-5.80%,-$2.00,-107.30%,"$1,660 ",$241 
471,Fiserv,"23,000",492,"$5,505 ",4.80%,$930.00 ,30.60%,"$9,743 ","$24,741 "
472,Host Hotels & Resorts,"2,20,000",472,"$5,488 ",1.90%,$762.00 ,36.60%,"$11,408 ","$13,794 "
473,Insight Enterprises,"5,930",474,"$5,486 ",2.10%,$84.70 ,11.70%,"$2,219 ","$1,458 "
474,Mattel,"32,000",450,"$5,457 ",-4.30%,$318.00 ,-13.90%,"$6,494 ","$8,770 "
