city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
neiafu,US,2018-11-11 21:55:00,33.19,-82.53,53.6,71,3.36,40
neiafu,RU,2018-11-11 21:30:00,59.7,30.79,33.8,74,8.95,90
neiafu,RU,2018-11-11 22:31:00,53.78,73.88,14.59,79,15.79,76
neiafu,PF,2018-11-11 22:33:55,-16.48,-151.75,81.1,100,15.39,36
neiafu,US,2018-11-11 21:56:00,30.44,-86.61,62.96,79,5.82,90
neiafu,NO,2018-11-11 21:50:00,71.03,27.85,42.8,75,21.92,0
neiafu,IN,2018-11-11 22:33:58,24.85,79.93,82.36,45,4.21,0
neiafu,RU,2018-11-11 22:31:50,69.7,170.27,-1.57,100,10.54,0
neiafu,RU,2018-11-11 22:31:50,68.05,39.51,31.24,93,20.38,48
neiafu,CA,2018-11-11 22:01:00,50.1,-91.92,17.6,78,6.93,90
neiafu,MX,2018-11-11 22:34:04,27.97,-114.04,63.28,68,13.67,0
neiafu,IN,2018-11-11 22:34:05,15.34,74.49,90.28,29,7.34,0
neiafu,JP,2018-11-11 22:00:00,33.93,134.5,57.2,82,3.36,75
neiafu,BR,2018-11-11 22:34:07,-30.17,-50.22,68.77,96,15.39,8
neiafu,IN,2018-11-11 22:34:08,26.08,81.05,81.01,53,4.27,0
neiafu,CN,2018-11-11 22:34:09,26.24,117.6,62.34,100,1.74,92
neiafu,NZ,2018-11-11 22:34:10,-36.83,175.7,60.76,100,7.0,64
neiafu,MX,2018-11-11 22:34:11,27.52,-110.01,60.49,76,2.48,0
neiafu,MG,2018-11-11 22:34:12,-25.17,45.06,76.69,61,15.95,12
neiafu,MN,2018-11-11 22:34:13,48.81,103.53,42.67,36,5.1,24
neiafu,NZ,2018-11-11 22:34:20,-46.13,167.69,55.41,87,8.9,64
neiafu,MU,2018-11-11 22:00:00,-20.34,57.76,82.4,65,14.99,40
neiafu,PG,2018-11-11 22:29:35,-2.57,150.8,84.57,100,6.33,48
neiafu,RU,2018-11-11 22:34:22,58.97,126.27,17.97,81,3.71,0
neiafu,CN,2018-11-11 22:34:23,40.09,113.3,46.9,56,4.09,0
neiafu,US,2018-11-11 21:48:00,43.52,-114.32,21.2,73,9.17,5
neiafu,GL,2018-11-11 22:34:25,72.79,-56.15,18.37,100,4.38,36
neiafu,RU,2018-11-11 22:34:26,67.46,153.71,-23.89,36,2.3,0
neiafu,US,2018-11-11 21:57:00,21.35,-158.09,75.92,68,4.7,20
neiafu,MV,2018-11-11 22:34:28,-0.6,73.08,83.62,99,15.84,8
neiafu,CA,2018-11-11 21:00:00,62.45,-114.38,10.4,85,5.82,90
neiafu,NO,2018-11-11 21:50:00,71.0,24.66,41.0,80,14.99,75
neiafu,AU,2018-11-11 22:00:00,-42.78,147.06,60.8,63,18.34,0
neiafu,AR,2018-11-11 22:34:32,-46.43,-67.52,54.37,78,7.63,0
neiafu,BR,2018-11-11 22:00:00,-9.67,-35.74,71.6,94,3.36,40
neiafu,CL,2018-11-11 22:34:34,-28.58,-70.76,43.3,91,0.85,8
neiafu,RU,2018-11-11 22:34:35,58.81,41.03,12.16,82,12.77,0
neiafu,BR,2018-11-11 22:34:36,-0.41,-65.02,79.21,90,0.58,12
neiafu,ES,2018-11-11 22:00:00,43.27,-7.54,46.4,93,6.93,0
neiafu,GL,2018-11-11 21:50:00,60.91,-46.05,42.8,35,19.46,92
neiafu,RU,2018-11-11 22:34:40,66.83,70.83,30.21,100,12.33,88
neiafu,US,2018-11-11 22:05:00,36.68,-101.48,31.82,88,14.99,90
neiafu,US,2018-11-11 21:56:00,22.08,-159.32,75.02,64,20.8,75
neiafu,EC,2018-11-11 22:00:00,-0.39,-78.55,55.4,93,4.7,75
neiafu,BR,2018-11-11 22:34:44,-22.97,-42.02,72.28,99,11.88,48
neiafu,CL,2018-11-11 22:34:44,-41.87,-73.83,45.19,86,2.08,8
neiafu,NO,2018-11-11 21:50:00,70.95,27.35,42.8,75,21.92,0
neiafu,SE,2018-11-11 21:50:00,56.16,15.59,48.2,100,3.36,90
neiafu,AR,2018-11-11 22:34:47,-26.79,-60.44,75.25,89,13.44,48
neiafu,US,2018-11-11 21:53:00,39.95,-94.76,30.92,72,11.41,90
neiafu,AU,2018-11-11 22:34:49,-20.74,116.85,101.08,11,2.98,0
neiafu,PT,2018-11-11 22:00:00,39.21,-8.63,50.0,100,5.82,90
neiafu,RU,2018-11-11 22:34:51,56.54,89.31,-3.1,74,14.05,20
neiafu,ZA,2018-11-11 22:34:58,-26.89,28.1,74.17,50,9.8,0
neiafu,FR,2018-11-11 22:00:00,47.55,-2.56,51.8,93,10.29,90
neiafu,TT,2018-11-11 22:00:00,10.24,-61.45,77.0,94,5.32,20
neiafu,RU,2018-11-11 22:35:02,67.55,63.78,34.89,96,15.12,92
neiafu,PT,2018-11-11 22:00:00,37.14,-8.45,57.2,100,6.93,20
neiafu,PE,2018-11-11 22:00:00,-3.75,-73.25,77.0,94,3.36,0
neiafu,RU,2018-11-11 22:35:07,49.24,135.18,37.09,80,3.49,76
neiafu,AU,2018-11-11 22:00:00,-28.65,153.62,73.4,56,19.46,0
neiafu,RU,2018-11-11 22:33:13,65.44,52.15,29.62,83,9.42,92
neiafu,AO,2018-11-11 22:35:09,-6.13,12.37,78.36,88,4.05,56
neiafu,ET,2018-11-11 22:35:10,8.25,34.59,70.84,75,4.32,56
neiafu,CL,2018-11-11 22:00:00,-29.95,-71.34,59.0,87,8.05,75
neiafu,RU,2018-11-11 21:30:00,64.42,-173.23,28.4,63,15.66,75
neiafu,IN,2018-11-11 22:35:14,14.97,75.04,88.84,35,8.63,0
neiafu,BM,2018-11-11 21:55:00,32.3,-64.78,69.8,88,14.99,90
neiafu,RU,2018-11-11 22:35:16,50.72,136.64,33.49,90,8.41,92
neiafu,ZA,2018-11-11 22:35:18,-33.59,26.89,71.92,81,18.07,36
neiafu,BR,2018-11-11 22:00:00,-3.71,-38.6,80.6,78,12.75,20
neiafu,MX,2018-11-11 22:35:20,15.86,-97.07,83.76,100,12.26,0
neiafu,BR,2018-11-11 22:35:21,-8.26,-49.26,77.01,78,6.22,12
neiafu,NG,2018-11-11 22:35:22,12.17,6.66,59.95,30,7.34,0
neiafu,AO,2018-11-11 21:00:00,-12.91,15.25,62.6,88,3.36,0
neiafu,RU,2018-11-11 22:35:24,68.75,161.3,-5.21,70,6.4,0
neiafu,RU,2018-11-11 21:00:00,53.96,48.79,8.6,84,2.24,44
neiafu,PT,2018-11-11 22:35:23,40.36,-7.35,43.57,97,4.38,68
neiafu,PY,2018-11-11 22:35:28,-26.98,-56.83,76.96,70,5.77,8
neiafu,NC,2018-11-11 22:00:00,-21.69,165.68,80.6,54,8.05,90
neiafu,FR,2018-11-11 22:00:00,41.59,9.28,59.0,82,8.05,20
neiafu,JP,2018-11-11 22:00:00,35.73,140.83,66.2,82,1.12,75
neiafu,BR,2018-11-11 22:00:00,-20.67,-40.5,73.4,94,1.12,75
neiafu,RU,2018-11-11 22:35:32,53.89,53.93,6.09,66,2.86,0
neiafu,IR,2018-11-11 21:00:00,38.25,48.3,44.6,87,9.17,90
neiafu,CA,2018-11-11 22:00:00,50.7,-127.42,39.2,93,4.7,40
neiafu,CA,2018-11-11 22:15:00,49.76,-94.48,17.6,92,9.17,90
neiafu,CA,2018-11-11 21:00:00,68.22,-135.01,8.6,84,9.17,90
neiafu,CA,2018-11-11 22:00:00,60.72,-135.06,41.0,65,19.46,90
neiafu,CA,2018-11-11 22:00:00,53.82,-101.24,12.2,78,11.41,90
neiafu,GL,2018-11-11 21:50:00,60.72,-46.03,42.8,35,19.46,92
neiafu,UA,2018-11-11 22:35:49,46.77,34.99,32.82,66,15.57,36
neiafu,US,2018-11-11 22:15:00,33.91,-98.49,46.04,77,12.75,90
neiafu,CA,2018-11-11 22:00:00,49.72,-86.95,15.8,85,2.59,90
neiafu,ZA,2018-11-11 22:35:53,-28.77,32.06,72.82,69,14.94,0
neiafu,GB,2018-11-11 21:50:00,58.98,-2.96,48.2,93,10.29,24
neiafu,EE,2018-11-11 22:35:55,59.1,26.19,35.52,87,15.39,88
neiafu,AU,2018-11-11 22:00:00,-32.83,151.35,71.6,60,16.11,20
neiafu,CA,2018-11-11 22:00:00,65.28,-126.83,8.6,92,6.06,75
neiafu,ES,2018-11-11 22:16:00,43.2,-8.36,46.4,93,6.93,0
neiafu,JP,2018-11-11 21:00:00,43.32,145.57,51.8,50,6.93,20
neiafu,CA,2018-11-11 22:36:02,55.43,-116.48,18.91,86,5.06,36
neiafu,AU,2018-11-11 22:00:00,-32.25,148.6,86.0,20,3.36,0
neiafu,IN,2018-11-11 22:36:14,30.78,78.62,54.46,65,1.97,0
neiafu,EC,2018-11-11 22:36:15,-0.74,-90.35,71.16,100,13.15,20
neiafu,BN,2018-11-11 22:00:00,5.28,115.24,87.8,74,6.93,75
neiafu,BS,2018-11-11 22:36:19,26.54,-77.06,80.29,100,14.45,68
neiafu,TH,2018-11-11 22:00:00,7.89,98.4,89.6,55,11.41,20
neiafu,AU,2018-11-11 22:36:21,-41.05,145.91,58.74,94,10.02,68
neiafu,RU,2018-11-11 22:36:22,55.65,109.32,11.76,78,3.6,68
neiafu,BR,2018-11-11 22:36:24,-17.73,-39.27,75.25,100,14.67,80
neiafu,PG,2018-11-11 22:36:25,-3.66,152.44,85.24,97,8.75,48
neiafu,PH,2018-11-11 22:36:27,13.96,122.02,82.0,98,16.62,56
neiafu,MM,2018-11-11 22:36:28,16.26,97.73,90.55,69,1.81,0
neiafu,US,2018-11-11 21:56:00,20.89,-156.47,75.92,68,10.29,20
neiafu,US,2018-11-11 22:15:00,30.04,-94.42,55.04,90,6.93,90
neiafu,US,2018-11-11 21:56:00,43.97,-111.68,21.02,61,6.93,1
neiafu,GR,2018-11-11 21:50:00,39.45,22.34,48.2,87,8.05,40
neiafu,RU,2018-11-11 21:50:00,61.05,28.93,39.2,80,8.05,90
neiafu,CL,2018-11-11 22:32:24,-42.48,-73.76,42.4,93,1.74,0
neiafu,US,2018-11-11 22:00:00,40.8,-124.16,50.0,39,11.41,1
neiafu,TH,2018-11-11 22:00:00,8.18,99.85,86.0,74,8.05,40
neiafu,CL,2018-11-11 22:00:00,-33.73,-70.74,57.2,50,6.93,75
neiafu,TR,2018-11-11 21:50:00,42.03,35.15,53.6,81,1.12,90
neiafu,SL,2018-11-11 22:36:49,7.62,-11.83,72.01,99,2.59,20
neiafu,IN,2018-11-11 22:36:50,20.09,73.93,87.13,31,7.23,0
neiafu,SO,2018-11-11 22:37:00,5.35,48.53,84.34,76,10.54,8
neiafu,BR,2018-11-11 22:37:01,-20.63,-46.0,63.82,99,4.54,92
neiafu,NA,2018-11-11 22:00:00,-26.65,15.16,57.2,93,4.7,24
neiafu,US,2018-11-11 22:17:00,41.75,-86.11,32.0,71,3.36,40
neiafu,US,2018-11-11 21:58:00,34.64,-120.46,50.9,76,8.05,1
