city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
cootamundra,AU,2018-11-15 18:14:50,-32.27,150.89,69.22,83,7.16,48
cootamundra,NZ,2018-11-15 18:18:33,-46.28,169.85,48.21,100,12.53,92
cootamundra,CA,2018-11-15 18:18:34,48.96,-65.49,17.11,79,6.15,20
cootamundra,BR,2018-11-15 18:00:00,-5.81,-35.21,78.8,74,5.82,20
cootamundra,NO,2018-11-15 18:18:41,69.01,23.04,35.02,92,6.04,68
cootamundra,NZ,2018-11-15 18:18:41,-45.87,170.5,52.26,97,3.47,92
cootamundra,FR,2018-11-15 17:30:00,48.95,4.24,42.8,100,10.29,90
cootamundra,CN,2018-11-15 17:00:00,25.34,110.03,59.0,87,6.71,90
cootamundra,BR,2018-11-15 18:18:44,-5.2,-35.46,77.41,92,11.07,80
cootamundra,KZ,2018-11-15 18:18:45,46.84,74.98,7.12,100,4.25,12
cootamundra,RU,2018-11-15 18:18:46,53.19,44.05,3.21,56,2.91,0
cootamundra,IN,2018-11-15 18:18:48,25.52,90.21,70.89,93,2.8,0
cootamundra,NU,2018-11-15 18:00:00,-19.06,-169.92,84.2,79,10.29,75
cootamundra,ET,2018-11-15 17:00:00,8.96,38.73,55.4,93,2.68,75
cootamundra,RU,2018-11-15 18:18:52,50.72,136.64,29.62,89,6.6,88
cootamundra,AU,2018-11-15 18:18:53,-31.97,141.45,79.89,40,10.07,0
cootamundra,ZA,2018-11-15 18:18:54,-34.0,24.73,57.52,95,5.7,24
cootamundra,RU,2018-11-15 18:18:55,71.98,102.47,-14.21,65,8.16,56
cootamundra,AR,2018-11-15 18:18:56,-38.31,-60.23,47.49,55,7.38,0
cootamundra,AU,2018-11-15 17:00:00,-34.58,150.85,64.4,63,5.82,90
cootamundra,IN,2018-11-15 18:18:58,15.34,74.49,74.08,53,7.38,0
cootamundra,CA,2018-11-15 17:11:00,50.7,-127.42,48.2,93,2.35,90
cootamundra,ID,2018-11-15 18:19:01,4.47,97.97,76.74,100,1.57,56
cootamundra,RU,2018-11-15 17:30:00,42.98,47.5,51.8,87,20.13,90
cootamundra,CA,2018-11-15 17:00:00,47.66,-52.73,30.2,74,24.16,90
cootamundra,CA,2018-11-15 17:00:00,65.28,-126.83,-20.21,75,2.24,20
cootamundra,MU,2018-11-15 17:00:00,-19.98,57.61,75.2,73,11.41,75
cootamundra,PG,2018-11-15 18:19:05,-2.57,150.8,85.74,100,4.36,48
cootamundra,GL,2018-11-15 18:19:06,72.79,-56.15,17.97,100,16.67,80
cootamundra,GB,2018-11-15 17:56:00,52.47,1.45,50.0,100,6.93,0
cootamundra,US,2018-11-15 17:53:00,46.98,-123.89,53.06,93,3.36,90
cootamundra,GB,2018-11-15 17:50:00,51.61,-3.54,53.6,100,5.82,92
cootamundra,RU,2018-11-15 18:19:11,56.66,124.71,-5.75,50,6.15,0
cootamundra,LK,2018-11-15 18:19:12,7.42,81.82,80.02,94,4.14,0
cootamundra,FR,2018-11-15 18:00:00,45.6,-0.6,53.6,100,2.24,0
cootamundra,US,2018-11-15 17:56:00,64.84,-147.72,3.38,90,5.82,1
cootamundra,UZ,2018-11-15 17:30:00,39.04,65.59,35.6,80,4.7,0
cootamundra,IN,2018-11-15 18:19:16,34.16,77.58,-24.92,22,1.57,0
cootamundra,LK,2018-11-15 18:19:18,6.12,81.12,82.86,100,7.38,64
cootamundra,PG,2018-11-15 18:14:19,-10.62,150.67,80.61,100,13.42,48
cootamundra,GR,2018-11-15 17:50:00,39.45,22.34,50.0,87,4.7,75
cootamundra,RU,2018-11-15 18:19:21,57.14,103.93,19.18,78,9.17,80
cootamundra,NO,2018-11-15 17:50:00,70.63,23.67,46.4,87,39.15,75
cootamundra,US,2018-11-15 17:56:00,40.05,-86.01,33.98,97,12.75,90
cootamundra,US,2018-11-15 17:53:00,22.08,-159.32,82.94,66,13.87,1
cootamundra,BN,2018-11-15 17:30:00,5.28,115.24,86.0,83,2.24,75
cootamundra,BR,2018-11-15 17:00:00,-22.41,-47.56,75.2,83,4.7,75
cootamundra,NE,2018-11-15 18:19:28,18.74,7.39,52.66,49,3.13,0
cootamundra,RU,2018-11-15 17:30:00,55.61,37.97,21.2,85,2.24,0
cootamundra,BO,2018-11-15 18:19:30,-19.18,-64.92,50.23,91,2.57,76
cootamundra,PH,2018-11-15 18:19:32,17.32,120.7,83.53,67,3.13,0
cootamundra,BO,2018-11-15 18:19:33,-19.79,-63.2,67.69,77,4.25,36
cootamundra,RU,2018-11-15 18:19:34,70.62,147.9,-2.69,74,3.91,80
cootamundra,PG,2018-11-15 17:00:00,-5.86,144.23,73.4,64,12.75,75
cootamundra,ZA,2018-11-15 18:19:36,-30.97,22.13,49.29,38,3.13,0
cootamundra,US,2018-11-15 17:53:00,45.52,-122.67,53.06,89,3.36,1
cootamundra,US,2018-11-15 17:35:00,32.74,-101.95,49.1,40,8.05,1
cootamundra,EG,2018-11-15 17:00:00,31.35,27.25,66.2,68,8.05,40
cootamundra,AU,2018-11-15 17:30:00,-16.92,145.77,89.6,40,16.11,20
cootamundra,AU,2018-11-15 18:00:00,-42.88,147.33,62.6,45,5.82,75
cootamundra,AU,2018-11-15 18:00:00,-42.78,147.06,62.6,45,5.82,75
cootamundra,US,2018-11-15 17:53:00,60.79,-161.76,21.02,87,12.75,90
cootamundra,AU,2018-11-15 17:30:00,-15.77,128.74,96.8,41,9.17,40
cootamundra,ZM,2018-11-15 18:19:48,-13.23,30.22,62.61,53,11.41,8
cootamundra,RU,2018-11-15 18:19:51,59.24,163.07,20.71,100,5.14,8
cootamundra,AU,2018-11-15 18:19:58,-20.74,116.85,101.08,17,16.78,92
cootamundra,CA,2018-11-15 18:15:43,46.12,-70.67,15.49,63,4.14,68
cootamundra,RU,2018-11-15 18:20:00,62.0,132.43,-6.97,59,3.69,36
cootamundra,IR,2018-11-15 18:20:01,36.2,46.09,31.6,81,1.68,48
cootamundra,MX,2018-11-15 17:46:00,22.89,-109.91,73.4,56,1.12,20
cootamundra,CA,2018-11-15 18:20:05,51.3,-116.96,26.65,94,1.45,76
cootamundra,RE,2018-11-15 17:30:00,-21.15,55.28,75.2,60,19.46,90
cootamundra,RU,2018-11-15 18:20:07,56.01,41.13,7.84,61,2.91,0
cootamundra,RU,2018-11-15 17:30:00,59.7,30.79,42.8,87,6.71,90
cootamundra,ID,2018-11-15 18:00:00,-10.32,123.57,91.4,55,11.41,40
cootamundra,MV,2018-11-15 18:20:10,3.78,72.97,83.08,100,10.96,80
cootamundra,CL,2018-11-15 18:15:30,-42.48,-73.76,41.64,100,2.35,20
cootamundra,DZ,2018-11-15 17:00:00,27.87,-0.29,60.8,31,4.7,0
cootamundra,CO,2018-11-15 18:20:15,11.78,-72.45,83.04,95,20.24,68
cootamundra,SA,2018-11-15 18:18:47,25.02,37.27,60.67,100,5.59,0
cootamundra,CA,2018-11-15 17:35:00,45.36,-73.48,24.8,57,4.7,1
cootamundra,CK,2018-11-15 18:00:00,-21.21,-159.78,80.6,74,9.17,75
cootamundra,RU,2018-11-15 18:20:21,55.83,32.94,24.22,82,2.91,44
cootamundra,MU,2018-11-15 17:00:00,-20.41,57.7,75.2,73,11.41,75
cootamundra,NE,2018-11-15 18:20:28,18.69,12.92,51.36,42,4.14,8
cootamundra,NZ,2018-11-15 18:20:30,-44.7,169.14,49.02,96,2.57,92
cootamundra,PH,2018-11-15 18:20:31,9.67,122.43,82.59,100,4.14,48
cootamundra,MX,2018-11-15 17:40:00,28.39,-105.62,48.2,21,2.8,5
cootamundra,ZA,2018-11-15 18:20:33,-34.42,19.24,51.36,99,2.35,24
cootamundra,RU,2018-11-15 18:20:35,69.7,170.27,-7.1,100,3.13,0
cootamundra,MG,2018-11-15 18:20:36,-25.17,45.06,67.92,82,11.97,0
cootamundra,PG,2018-11-15 18:20:37,-2.02,147.27,83.35,100,6.49,56
cootamundra,RU,2018-11-15 18:20:38,50.1,139.13,27.06,84,3.24,76
cootamundra,RU,2018-11-15 18:19:04,66.42,112.4,-0.62,74,2.68,56
cootamundra,BM,2018-11-15 17:55:00,32.3,-64.78,71.6,83,19.46,75
cootamundra,JP,2018-11-15 17:00:00,31.65,131.31,59.0,58,8.05,75
cootamundra,ID,2018-11-15 18:20:42,-0.87,134.08,82.18,100,5.59,56
cootamundra,IT,2018-11-15 17:20:00,40.56,8.32,53.6,93,4.7,0
